index,FSA,census under 60,census above 60,census total
930,M4B,27455,7255,34710
931,M4C,70960,15535,86495
932,M4E,37400,8570,45970
933,M4G,27460,7660,35120
934,M4H,28725,5670,34395
935,M4J,52535,13450,65985
936,M4K,46900,12260,59160
937,M4L,50195,9655,59850
938,M4M,38785,7625,46410
939,M4N,21215,7280,28495
940,M4P,31440,6995,38435
941,M4R,16935,4070,21005
942,M4S,39850,10540,50390
943,M4T,14195,5660,19855
944,M4V,25115,10155,35270
945,M4W,19900,8165,28065
946,M4X,32710,6620,39330
947,M4Y,51895,8120,60015
948,M5A,67595,10865,78460
949,M5B,22385,2560,24945
950,M5C,5095,655,5750
951,M5E,15050,2810,17860
952,M5G,15050,1220,16270
953,M5H,3690,250,3940
954,M5J,24365,3985,28350
955,M5K,0,0,0
956,M5L,0,0,0
957,M5M,37475,9500,46975
958,M5N,23940,6645,30585
959,M5P,27500,9395,36895
960,M5R,38700,13245,51945
961,M5S,24465,5855,30320
962,M5T,27915,6745,34660
963,M5V,90895,5125,96020
964,M5W,0,0,0
965,M5X,0,0,0
966,M6A,29765,9435,39200
967,M6B,40705,12730,53435
968,M6C,36415,9425,45840
969,M6E,56640,15010,71650
970,M6G,47525,14135,61660
971,M6H,70895,14420,85315
972,M6J,53035,9615,62650
973,M6K,68130,10685,78815
974,M6L,28815,9725,38540
975,M6M,63450,14900,78350
976,M6N,61875,15020,76895
977,M6P,62385,13040,75425
978,M6R,30850,6325,37175
979,M6S,50730,12385,63115
980,M7A,0,0,0
981,M7Y,0,0,0
982,M8V,56885,15440,72325
983,M8W,30650,8255,38905
984,M8X,14025,6460,20485
985,M8Y,32400,7505,39905
986,M8Z,25100,7025,32125
987,M9A,50540,17255,67795
988,M9B,46570,14155,60725
989,M9C,52795,20310,73105
990,M9L,16610,5510,22120
991,M9M,33070,7665,40735
992,M9N,37590,8725,46315
993,M9P,27335,12450,39785
994,M9R,46980,15520,62500
995,M9V,83770,18255,102025
996,M9W,60325,15320,75645
997,N0A,39650,16415,56065
998,N0B,113965,32285,146250
999,N0C,20935,7665,28600
1000,N0E,47680,16465,64145
1001,N0G,113740,39420,153160
1002,N0H,60105,31220,91325
1003,N0J,46165,12005,58170
1004,N0K,34345,9875,44220
1005,N0L,65660,20655,86315
1006,N0M,85955,34490,120445
1007,N0N,55295,20050,75345
1008,N0P,70565,26275,96840
1009,N0R,66575,18800,85375
1010,N1A,15925,6370,22295
1011,N1C,5920,1050,6970
1012,N1E,59975,14505,74480
1013,N1G,39175,12300,51475
1014,N1H,63110,19195,82305
1015,N1K,14740,2060,16800
1016,N1L,22185,3565,25750
1017,N1M,21780,7970,29750
1018,N1P,12035,1260,13295
1019,N1R,60070,18430,78500
1020,N1S,27750,8465,36215
1021,N1T,27240,4570,31810
1022,N2A,42790,11990,54780
1023,N2B,23230,7945,31175
1024,N2C,23805,6400,30205
1025,N2E,59870,10870,70740
1026,N2G,20005,5660,25665
1027,N2H,31315,8595,39910
1028,N2J,26355,9575,35930
1029,N2K,41530,8190,49720
1030,N2L,41285,11590,52875
1031,N2M,48800,12930,61730
1032,N2N,39565,9095,48660
1033,N2P,30375,5760,36135
1034,N2R,19905,1605,21510
1035,N2T,31500,6290,37790
1036,N2V,26290,4575,30865
1037,N2Z,13895,6360,20255
1038,N3A,21970,7300,29270
1039,N3B,17345,5125,22470
1040,N3C,40430,7755,48185
1041,N3E,425,115,540
1042,N3H,30285,10155,40440
1043,N3L,20005,7300,27305
1044,N3P,12760,2975,15735
1045,N3R,45275,19020,64295
1046,N3S,37675,9835,47510
1047,N3T,49360,13365,62725
1048,N3V,2420,530,2950
1049,N3W,19630,4930,24560
1050,N3Y,28995,13570,42565
1051,N4B,10445,4100,14545
1052,N4G,24415,11940,36355
1053,N4K,36690,17120,53810
1054,N4L,9515,5980,15495
1055,N4N,12440,6295,18735
1056,N4S,45190,15355,60545
1057,N4T,14945,4675,19620
1058,N4V,3950,1625,5575
1059,N4W,15375,5025,20400
1060,N4X,13110,5150,18260
1061,N4Z,3545,855,4400
1062,N5A,42195,16910,59105
1063,N5C,21375,5890,27265
1064,N5H,21325,5970,27295
1065,N5L,3340,2055,5395
1066,N5P,28220,8415,36635
1067,N5R,36935,13795,50730
1068,N5V,46500,10215,56715
1069,N5W,34250,9730,43980
1070,N5X,46495,14000,60495
1071,N5Y,52195,10835,63030
1072,N5Z,35495,8350,43845
1073,N6A,16615,5895,22510
1074,N6B,16035,3715,19750
1075,N6C,44530,12645,57175
1076,N6E,40220,10055,50275
1077,N6G,59740,14875,74615
1078,N6H,56360,20800,77160
1079,N6J,36580,14170,50750
1080,N6K,45880,18655,64535
1081,N6L,4480,1035,5515
1082,N6M,8640,1670,10310
1083,N6N,885,370,1255
1084,N6P,12130,3930,16060
1085,N7A,14175,8135,22310
1086,N7G,24235,9045,33280
1087,N7L,32560,13875,46435
1088,N7M,33270,12280,45550
1089,N7S,37990,13880,51870
1090,N7T,36045,13890,49935
1091,N7V,14905,7760,22665
1092,N7W,1800,1985,3785
1093,N7X,1370,725,2095
1094,N8A,18800,7160,25960
1095,N8H,35560,12545,48105
1096,N8M,15335,5240,20575
1097,N8N,33470,11695,45165
1098,N8P,16115,6540,22655
1099,N8R,17100,5035,22135
1100,N8S,29390,11985,41375
1101,N8T,24265,8180,32445
1102,N8W,34905,9260,44165
1103,N8X,23130,6005,29135
1104,N8Y,26545,9260,35805
1105,N9A,35755,11815,47570
1106,N9B,27325,5285,32610
1107,N9C,17330,3950,21280
1108,N9E,28795,9760,38555
1109,N9G,28070,8315,36385
1110,N9H,14040,5105,19145
1111,N9J,28845,6315,35160
1112,N9K,3975,1090,5065
1113,N9V,28215,9415,37630
1114,N9Y,19460,8225,27685
1115,P0A,20150,11275,31425
1116,P0B,12120,5165,17285
1117,P0C,4740,2615,7355
1118,P0E,4125,1880,6005
1119,P0G,3805,2155,5960
1120,P0H,41510,16900,58410
1121,P0J,27680,11245,38925
1122,P0K,15175,6230,21405
1123,P0L,35085,10120,45205
1124,P0M,69510,23275,92785
1125,P0N,14000,3275,17275
1126,P0P,25125,11025,36150
1127,P0R,15440,8165,23605
1128,P0S,13530,4905,18435
1129,P0T,46060,14715,60775
1130,P0V,32315,5355,37670
1131,P0W,8610,3085,11695
1132,P0X,11180,3605,14785
1133,P0Y,0,0,0
1134,P1A,22695,8085,30780
1135,P1B,44855,16490,61345
1136,P1C,5070,1110,6180
1137,P1H,21060,9870,30930
1138,P1L,21200,10255,31455
1139,P1P,12640,7435,20075
1140,P2A,16230,8530,24760
1141,P2B,12565,5710,18275
1142,P2N,9640,3920,13560
1143,P3A,31845,13675,45520
1144,P3B,22540,6600,29140
1145,P3C,23870,6955,30825
1146,P3E,36465,15170,51635
1147,P3G,5720,1695,7415
1148,P3L,12085,2575,14660
1149,P3N,11635,3325,14960
1150,P3P,23095,5035,28130
1151,P3Y,10435,3355,13790
1152,P4N,34680,11055,45735
1153,P4P,5295,765,6060
1154,P4R,7510,1355,8865
1155,P5A,11190,9550,20740
1156,P5E,7065,2780,9845
1157,P5N,11330,4505,15835
1158,P6A,46565,18900,65465
1159,P6B,29370,14210,43580
1160,P6C,26975,9200,36175
1161,P7A,38385,15820,54205
1162,P7B,30320,11160,41480
1163,P7C,30135,11010,41145
1164,P7E,28880,11065,39945
1165,P7G,18000,4860,22860
1166,P7J,7555,1750,9305
1167,P7K,8995,3220,12215
1168,P7L,2720,900,3620
1169,P8N,13805,4980,18785
1170,P8T,7635,1425,9060
1171,P9A,14750,5010,19760
1172,P9N,19400,6660,26060
1173,R0A,68645,12430,81075
1174,R0B,72590,7235,79825
1175,R0C,71805,24095,95900
1176,R0E,64150,22080,86230
1177,R0G,61555,17855,79410
1178,R0H,24395,5245,29640
1179,R0J,35605,15170,50775
1180,R0K,37610,13195,50805
1181,R0L,34875,14185,49060
1182,R0M,26440,9980,36420
1183,R1A,29820,10060,39880
1184,R1B,190,300,490
1185,R1C,5585,1275,6860
1186,R1N,23185,7575,30760
1187,R2C,50180,11180,61360
1188,R2E,13205,3905,17110
1189,R2G,43255,19360,62615
1190,R2H,22275,8350,30625
1191,R2J,37810,11160,48970
1192,R2K,48150,13990,62140
1193,R2L,22960,3955,26915
1194,R2M,53430,17990,71420
1195,R2N,43665,12660,56325
1196,R2P,47940,11200,59140
1197,R2R,32850,5940,38790
1198,R2V,50890,14420,65310
1199,R2W,43515,8225,51740
1200,R2X,28800,6100,34900
1201,R2Y,27305,9900,37205
1202,R3A,7085,1015,8100
1203,R3B,19450,4780,24230
1204,R3C,22940,5005,27945
1205,R3E,29995,5735,35730
1206,R3G,39860,6905,46765
1207,R3H,190,30,220
1208,R3J,39265,13065,52330
1209,R3K,16165,7410,23575
1210,R3L,30875,7825,38700
1211,R3M,32840,9985,42825
1212,R3N,24380,6890,31270
1213,R3P,24175,13905,38080
1214,R3R,33490,12845,46335
1215,R3S,800,150,950
1216,R3T,72230,17565,89795
1217,R3V,9220,2620,11840
1218,R3W,14825,3120,17945
1219,R3X,28035,3920,31955
1220,R3Y,34950,4400,39350
1221,R4A,6405,2015,8420
1222,R4G,1870,260,2130
1223,R4H,4080,755,4835
1224,R4J,1385,340,1725
1225,R4K,1370,195,1565
1226,R4L,1800,365,2165
1227,R5A,5100,1040,6140
1228,R5G,31440,7295,38735
1229,R5H,8000,2540,10540
1230,R6M,14315,4265,18580
1231,R6W,29945,5285,35230
1232,R7A,43475,10380,53855
1233,R7B,30080,8450,38530
1234,R7C,3000,1675,4675
1235,R7N,13090,6250,19340
1236,R8A,7520,2330,9850
1237,R8N,22020,2215,24235
1238,R9A,9585,2430,12015
1239,S0A,67425,30405,97830
1240,S0C,32855,9710,42565
1241,S0E,42975,17390,60365
1242,S0G,85950,30385,116335
1243,S0H,29805,12645,42450
1244,S0J,69950,18330,88280
1245,S0K,128280,33540,161820
1246,S0L,42055,14970,57025
1247,S0M,68670,16340,85010
1248,S0N,29015,10490,39505
1249,S0P,10760,1460,12220
1250,S2V,1190,400,1590
1251,S3N,25425,9185,34610
1252,S4A,18710,4250,22960
1253,S4H,15425,5305,20730
1254,S4L,8740,1170,9910
1255,S4M,270,20,290
1256,S4N,48355,8185,56540
1257,S4P,18195,8095,26290
1258,S4R,51400,13520,64920
1259,S4S,48815,17435,66250
1260,S4T,48205,10105,58310
1261,S4V,40985,10940,51925
1262,S4W,13905,805,14710
1263,S4X,43445,6670,50115
1264,S4Y,7170,855,8025
1265,S4Z,1860,405,2265
1266,S6H,37360,14060,51420
1267,S6J,7315,2425,9740
1268,S6K,2140,305,2445
1269,S6V,58730,15930,74660
1270,S6W,115,160,275
1271,S6X,3340,375,3715
1272,S7H,52375,14725,67100
1273,S7J,42670,16470,59140
1274,S7K,56210,17490,73700
1275,S7L,59120,12480,71600
1276,S7M,47445,9090,56535
1277,S7N,41630,8860,50490
1278,S7P,225,60,285
1279,S7R,13290,665,13955
1280,S7S,8990,1900,10890
1281,S7T,20600,3275,23875
1282,S7V,16825,2540,19365
1283,S7W,22545,1455,24000
1284,S9A,21540,6885,28425
1285,S9H,24930,8805,33735
1286,S9V,23510,2495,26005
1287,S9X,11590,2220,13810
1288,T0A,85700,21525,107225
1289,T0B,88650,28320,116970
1290,T0C,87595,25790,113385
1291,T0E,62785,17680,80465
1292,T0G,63115,12930,76045
1293,T0H,123630,24835,148465
1294,T0J,73625,17765,91390
1295,T0K,75935,22575,98510
1296,T0L,85385,25475,110860
1297,T0M,96315,26875,123190
1298,T0P,5635,705,6340
1299,T0V,0,0,0
1300,T1A,34690,13355,48045
1301,T1B,46175,13690,59865
1302,T1C,14415,2560,16975
1303,T1G,14790,3765,18555
1304,T1H,40060,10640,50700
1305,T1J,33140,9625,42765
1306,T1K,65450,19170,84620
1307,T1L,12460,1720,14180
1308,T1M,13235,3490,16725
1309,T1P,24250,6405,30655
1310,T1R,25665,4830,30495
1311,T1S,49435,9175,58610
1312,T1V,20680,7945,28625
1313,T1W,22305,5240,27545
1314,T1X,34465,5630,40095
1315,T1Y,86045,18075,104120
1316,T1Z,980,195,1175
1317,T2A,91730,17210,108940
1318,T2B,35525,7525,43050
1319,T2C,31950,6205,38155
1320,T2E,53730,12215,65945
1321,T2G,23035,4625,27660
1322,T2H,13830,3960,17790
1323,T2J,65660,20785,86445
1324,T2K,53075,13115,66190
1325,T2L,20970,6095,27065
1326,T2M,33985,5530,39515
1327,T2N,41115,8785,49900
1328,T2P,20915,4360,25275
1329,T2R,24560,2740,27300
1330,T2S,23210,4990,28200
1331,T2T,48405,7345,55750
1332,T2V,46940,16950,63890
1333,T2W,62820,15680,78500
1334,T2X,67185,11220,78405
1335,T2Y,95980,15025,111005
1336,T2Z,109835,12360,122195
1337,T3A,78495,20290,98785
1338,T3B,53710,16275,69985
1339,T3C,37415,6980,44395
1340,T3E,62520,14795,77315
1341,T3G,90170,17785,107955
1342,T3H,107800,20105,127905
1343,T3J,122565,14055,136620
1344,T3K,126415,19035,145450
1345,T3L,45695,7850,53545
1346,T3M,65105,4440,69545
1347,T3N,20485,1430,21915
1348,T3P,24835,2500,27335
1349,T3R,38550,3725,42275
1350,T3S,455,125,580
1351,T3Z,16650,3740,20390
1352,T4A,25520,3075,28595
1353,T4B,75855,9265,85120
1354,T4C,45580,9500,55080
1355,T4E,3480,560,4040
1356,T4G,17795,5690,23485
1357,T4H,16860,6085,22945
1358,T4J,16060,4720,20780
1359,T4L,24470,6800,31270
1360,T4M,7800,315,8115
1361,T4N,50045,12980,63025
1362,T4P,50135,8865,59000
1363,T4R,55795,10625,66420
1364,T4S,31370,5220,36590
1365,T4T,19195,4990,24185
1366,T4V,28170,10725,38895
1367,T4X,32225,4065,36290
1368,T5A,52090,11710,63800
1369,T5B,24395,5155,29550
1370,T5C,22845,7075,29920
1371,T5E,46045,13605,59650
1372,T5G,20260,3900,24160
1373,T5H,42725,7305,50030
1374,T5J,8955,1640,10595
1375,T5K,35500,10360,45860
1376,T5L,25395,6610,32005
1377,T5M,22940,5670,28610
1378,T5N,22065,5400,27465
1379,T5P,32590,7705,40295
1380,T5R,36620,12330,48950
1381,T5S,7575,1355,8930
1382,T5T,106915,20540,127455
1383,T5V,230,30,260
1384,T5W,30505,7530,38035
1385,T5X,62200,13570,75770
1386,T5Y,73635,8790,82425
1387,T5Z,47955,7980,55935
1388,T6A,21015,7060,28075
1389,T6B,13385,4810,18195
1390,T6C,30590,8495,39085
1391,T6E,37255,6390,43645
1392,T6G,20755,3735,24490
1393,T6H,45475,10705,56180
1394,T6J,67565,20245,87810
1395,T6K,43935,9840,53775
1396,T6L,78435,15950,94385
1397,T6M,43395,7435,50830
1398,T6N,0,0,0
1399,T6P,2635,765,3400
1400,T6R,67105,15225,82330
1401,T6S,160,20,180
1402,T6T,59510,6515,66025
1403,T6V,31765,3675,35440
1404,T6W,82865,8195,91060
1405,T6X,59025,3570,62595
1406,T7A,17965,3265,21230
1407,T7E,21235,4145,25380
1408,T7N,10125,4340,14465
1409,T7P,9530,4505,14035
1410,T7S,20265,2385,22650
1411,T7V,16215,3020,19235
1412,T7X,66760,11845,78605
1413,T7Y,9975,2605,12580
1414,T7Z,37600,9865,47465
1415,T8A,63285,17080,80365
1416,T8B,9320,2570,11890
1417,T8C,6705,1520,8225
1418,T8E,12075,2615,14690
1419,T8G,7400,1445,8845
1420,T8H,43210,8695,51905
1421,T8L,40080,7855,47935
1422,T8N,94650,25410,120060
1423,T8R,22945,3915,26860
1424,T8S,12205,2145,14350
1425,T8T,10285,2575,12860
1426,T8V,49975,8535,58510
1427,T8W,34950,2825,37775
1428,T8X,30965,2750,33715
1429,T9A,21335,7610,28945
1430,T9C,9160,3620,12780
1431,T9E,47220,9960,57180
1432,T9G,10515,2435,12950
1433,T9H,45890,3185,49075
1434,T9J,6300,330,6630
1435,T9K,67420,2510,69930
1436,T9M,29205,3200,32405
1437,T9N,13585,2815,16400
1438,T9S,9605,3100,12705
1439,T9V,32010,5630,37640
1440,T9W,11880,2860,14740
1441,T9X,8165,2640,10805
1442,V0A,19560,6530,26090
1443,V0B,43120,18740,61860
1444,V0C,43340,8085,51425
1445,V0E,84695,38650,123345
1446,V0G,34620,14115,48735
1447,V0H,60540,42190,102730
1448,V0J,75885,20415,96300
1449,V0K,41045,21020,62065
1450,V0L,6105,2440,8545
1451,V0M,15275,6790,22065
1452,V0N,107275,41730,149005
1453,V0P,8330,4320,12650
1454,V0R,85925,39960,125885
1455,V0S,395,110,505
1456,V0T,12250,3620,15870
1457,V0V,2925,695,3620
1458,V0W,740,325,1065
1459,V0X,25105,13935,39040
1460,V1A,10945,4805,15750
1461,V1B,28515,11295,39810
1462,V1C,34455,12930,47385
1463,V1E,23880,12780,36660
1464,V1G,23405,5240,28645
1465,V1H,15675,10015,25690
1466,V1J,38030,4640,42670
1467,V1K,12140,5120,17260
1468,V1L,23185,8415,31600
1469,V1M,43985,13540,57525
1470,V1N,16860,6775,23635
1471,V1P,12255,2455,14710
1472,V1R,12790,6305,19095
1473,V1S,16130,4765,20895
1474,V1T,36040,17310,53350
1475,V1V,29630,9995,39625
1476,V1W,44575,20460,65035
1477,V1X,47005,15650,62655
1478,V1Y,47575,19155,66730
1479,V1Z,20070,6620,26690
1480,V2A,45530,26790,72320
1481,V2B,55090,19615,74705
1482,V2C,33075,11740,44815
1483,V2E,21970,4965,26935
1484,V2G,24960,8370,33330
1485,V2H,8490,3155,11645
1486,V2J,31240,10850,42090
1487,V2K,31105,7005,38110
1488,V2L,14390,4160,18550
1489,V2M,34385,8995,43380
1490,V2N,47855,10750,58605
1491,V2P,49115,18585,67700
1492,V2R,65445,23695,89140
1493,V2S,68475,22325,90800
1494,V2T,78200,24950,103150
1495,V2V,48655,12860,61515
1496,V2W,29080,5090,34170
1497,V2X,68615,21115,89730
1498,V2Y,53845,9510,63355
1499,V2Z,20485,8805,29290
1500,V3A,58810,20610,79420
1501,V3B,84785,20035,104820
1502,V3C,58030,14080,72110
1503,V3E,61200,10525,71725
1504,V3G,35730,7870,43600
1505,V3H,56375,11780,68155
1506,V3J,61080,15300,76380
1507,V3K,45175,12150,57325
1508,V3L,40920,11810,52730
1509,V3M,66340,15920,82260
1510,V3N,60585,12920,73505
1511,V3R,87030,19845,106875
1512,V3S,143225,29465,172690
1513,V3T,60345,11680,72025
1514,V3V,74115,15310,89425
1515,V3W,137775,30610,168385
1516,V3X,42800,9545,52345
1517,V3Y,27420,7370,34790
1518,V3Z,42180,11500,53680
1519,V4A,44425,25375,69800
1520,V4B,22645,16690,39335
1521,V4C,65605,15565,81170
1522,V4E,17025,4870,21895
1523,V4G,110,35,145
1524,V4K,32650,13280,45930
1525,V4L,9535,5640,15175
1526,V4M,18635,8765,27400
1527,V4N,119755,24140,143895
1528,V4P,15750,7295,23045
1529,V4R,23435,4190,27625
1530,V4S,10835,2565,13400
1531,V4T,35480,17135,52615
1532,V4V,20385,6910,27295
1533,V4W,27805,7860,35665
1534,V4X,18655,4515,23170
1535,V4Z,6965,1770,8735
1536,V5A,35445,9325,44770
1537,V5B,33070,9135,42205
1538,V5C,45015,12845,57860
1539,V5E,38075,11895,49970
1540,V5G,28305,9245,37550
1541,V5H,58475,15710,74185
1542,V5J,32965,8290,41255
1543,V5K,33920,9505,43425
1544,V5L,31735,5795,37530
1545,V5M,32880,11185,44065
1546,V5N,54000,12180,66180
1547,V5P,45850,14865,60715
1548,V5R,70895,17275,88170
1549,V5S,40670,13915,54585
1550,V5T,40340,5515,45855
1551,V5V,37890,7805,45695
1552,V5W,29085,7970,37055
1553,V5X,42425,11885,54310
1554,V5Y,27165,5385,32550
1555,V5Z,32690,10525,43215
1556,V6A,27335,9275,36610
1557,V6B,51475,5945,57420
1558,V6C,4010,890,4900
1559,V6E,44705,8180,52885
1560,V6G,41790,11865,53655
1561,V6H,27355,7390,34745
1562,V6J,34090,8860,42950
1563,V6K,41310,9390,50700
1564,V6L,14260,5730,19990
1565,V6M,22250,9240,31490
1566,V6N,19700,6510,26210
1567,V6P,45850,12620,58470
1568,V6R,28170,8320,36490
1569,V6S,18380,4040,22420
1570,V6T,20600,3295,23895
1571,V6V,17005,3605,20610
1572,V6W,2325,810,3135
1573,V6X,50720,13540,64260
1574,V6Y,69290,21465,90755
1575,V6Z,28655,5935,34590
1576,V7A,38565,11270,49835
1577,V7B,1260,225,1485
1578,V7C,56905,16785,73690
1579,V7E,51870,17850,69720
1580,V7G,16710,4825,21535
1581,V7H,18315,6385,24700
1582,V7J,23765,7525,31290
1583,V7K,18440,4025,22465
1584,V7L,38935,11210,50145
1585,V7M,29970,8495,38465
1586,V7N,20910,6920,27830
1587,V7P,19105,5225,24330
1588,V7R,20700,6460,27160
1589,V7S,14215,5470,19685
1590,V7T,11110,6905,18015
1591,V7V,16950,12165,29115
1592,V7W,11245,4925,16170
1593,V7X,0,0,0
1594,V7Y,0,0,0
1595,V8A,22325,12135,34460
1596,V8B,18020,3435,21455
1597,V8C,11760,3275,15035
1598,V8G,27870,7195,35065
1599,V8J,17945,4560,22505
1600,V8K,12210,8060,20270
1601,V8L,25240,20545,45785
1602,V8M,20005,10850,30855
1603,V8N,33295,14430,47725
1604,V8P,24145,10830,34975
1605,V8R,32530,12485,45015
1606,V8S,20790,12105,32895
1607,V8T,30560,8135,38695
1608,V8V,33450,18120,51570
1609,V8W,8000,2370,10370
1610,V8X,33920,11245,45165
1611,V8Y,11910,6950,18860
1612,V8Z,44645,13635,58280
1613,V9A,55365,18510,73875
1614,V9B,65650,16105,81755
1615,V9C,33150,8695,41845
1616,V9E,6805,2950,9755
1617,V9G,18105,9850,27955
1618,V9H,12735,4425,17160
1619,V9J,11565,4855,16420
1620,V9K,15480,15205,30685
1621,V9L,44930,19385,64315
1622,V9M,20465,12405,32870
1623,V9N,38235,18545,56780
1624,V9P,25900,23510,49410
1625,V9R,40175,13120,53295
1626,V9S,22590,9275,31865
1627,V9T,42575,19835,62410
1628,V9V,13200,7715,20915
1629,V9W,38190,15770,53960
1630,V9X,14790,4160,18950
1631,V9Y,32485,14970,47455
1632,V9Z,24600,7520,32120
1633,X0A,30035,1925,31960
1634,X0B,10150,785,10935
1635,X0C,16310,1055,17365
1636,X0E,32575,5265,37840
1637,X0G,790,120,910
1638,X1A,32810,3375,36185
1639,Y0A,2380,640,3020
1640,Y0B,9660,2495,12155
1641,Y1A,42390,8205,50595
