index,FSA,census under 60,census above 60,census total
213,E8C,4025,2875,6900
214,E8E,6980,2905,9885
215,E8G,3220,1905,5125
216,E8J,7480,3210,10690
217,E8K,11745,4685,16430
218,E8L,3075,1405,4480
219,E8M,2900,1035,3935
220,E8N,3030,1935,4965
221,E8P,4550,2065,6615
222,E8R,4320,1735,6055
223,E8S,6035,2745,8780
224,E8T,7400,3660,11060
225,E9A,3030,1295,4325
226,E9B,3160,1240,4400
227,E9C,2565,1485,4050
228,E9E,5300,2230,7530
229,E9G,7310,2595,9905
230,E9H,4185,1715,5900
231,G0A,117945,40755,158700
232,G0C,59495,30145,89640
233,G0E,5670,3510,9180
234,G0G,25830,6440,32270
235,G0H,14495,5130,19625
236,G0J,36850,18475,55325
237,G0K,15645,5835,21480
238,G0L,76005,35815,111820
239,G0M,46305,16680,62985
240,G0N,24595,11850,36445
241,G0P,9385,3135,12520
242,G0R,108115,48710,156825
243,G0S,94135,30575,124710
244,G0T,17995,8630,26625
245,G0V,24340,8030,32370
246,G0W,50350,15255,65605
247,G0X,77190,32485,109675
248,G0Y,11735,5205,16940
249,G0Z,11825,3915,15740
250,G1A,0,0,0
251,G1B,24950,4745,29695
252,G1C,50405,18030,68435
253,G1E,35010,16750,51760
254,G1G,32640,13260,45900
255,G1H,36695,19600,56295
256,G1J,32395,12555,44950
257,G1K,26910,8610,35520
258,G1L,32425,11080,43505
259,G1M,26200,11210,37410
260,G1N,11865,3800,15665
261,G1P,22590,8720,31310
262,G1R,22850,10010,32860
263,G1S,29825,21365,51190
264,G1T,7675,4575,12250
265,G1V,26110,10300,36410
266,G1W,27365,12710,40075
267,G1X,33640,15730,49370
268,G1Y,16760,6740,23500
269,G2A,21470,7135,28605
270,G2B,34355,10970,45325
271,G2C,16795,5145,21940
272,G2E,28080,10500,38580
273,G2G,15660,4115,19775
274,G2J,3600,2255,5855
275,G2K,14700,6035,20735
276,G2L,19415,6480,25895
277,G2M,7720,1810,9530
278,G2N,11945,2790,14735
279,G3A,27470,8150,35620
280,G3B,11905,2195,14100
281,G3C,13535,2445,15980
282,G3E,24095,3745,27840
283,G3G,15065,3080,18145
284,G3H,13285,3525,16810
285,G3J,15800,2785,18585
286,G3K,29145,3675,32820
287,G3L,13520,5805,19325
288,G3M,9475,4090,13565
289,G3N,14670,3060,17730
290,G3Z,8665,4915,13580
291,G4A,3945,1855,5800
292,G4R,29735,8655,38390
293,G4S,7620,1850,9470
294,G4T,16325,7525,23850
295,G4V,8520,4060,12580
296,G4W,17935,9480,27415
297,G4X,19540,8010,27550
298,G4Z,13980,4375,18355
299,G5A,10610,5190,15800
300,G5B,9065,2535,11600
301,G5C,16170,5985,22155
302,G5H,8470,4400,12870
303,G5J,8125,3515,11640
304,G5L,36515,20045,56560
305,G5M,12190,3210,15400
306,G5N,11620,2960,14580
307,G5R,25245,11850,37095
308,G5T,3540,1860,5400
309,G5V,14070,7475,21545
310,G5X,8245,3445,11690
311,G5Y,31330,12880,44210
312,G5Z,9740,2660,12400
313,G6A,3605,425,4030
314,G6B,10395,4895,15290
315,G6C,10685,2135,12820
316,G6E,18745,6360,25105
317,G6G,23675,14045,37720
318,G6H,8975,4530,13505
319,G6J,15540,3345,18885
320,G6K,12250,2660,14910
321,G6L,19995,8185,28180
322,G6P,35140,21010,56150
323,G6R,6815,1325,8140
324,G6S,6750,2460,9210
325,G6T,15580,2885,18465
326,G6V,39625,21480,61105
327,G6W,32750,12020,44770
328,G6X,13205,5315,18520
329,G6Y,8410,1735,10145
330,G6Z,35775,6820,42595
331,G7A,33095,7885,40980
332,G7B,24360,9330,33690
333,G7G,23350,7620,30970
334,G7H,35445,19635,55080
335,G7J,21030,6770,27800
336,G7K,920,295,1215
337,G7N,9160,2380,11540
338,G7P,10230,2915,13145
339,G7S,27575,9555,37130
340,G7T,1425,200,1625
341,G7X,34345,14655,49000
342,G7Y,880,260,1140
343,G7Z,4080,1070,5150
344,G8A,8185,3495,11680
345,G8B,29640,13155,42795
346,G8C,6185,1430,7615
347,G8E,5285,1785,7070
348,G8G,5055,2485,7540
349,G8H,13285,6195,19480
350,G8J,5810,1845,7655
351,G8K,13695,5420,19115
352,G8L,18875,8815,27690
353,G8M,7130,2630,9760
354,G8N,3335,1370,4705
355,G8P,11180,2610,13790
356,G8T,34820,19055,53875
357,G8V,14220,3145,17365
358,G8W,14185,5050,19235
359,G8Y,42415,18795,61210
360,G8Z,17535,9175,26710
361,G9A,26565,12655,39220
362,G9B,23920,7195,31115
363,G9C,4800,1020,5820
364,G9H,17605,6625,24230
365,G9N,19200,12275,31475
366,G9P,14185,7570,21755
367,G9R,3295,845,4140
368,G9T,19575,11085,30660
369,G9X,13920,6425,20345
370,H0M,1750,270,2020
371,H1A,45680,15630,61310
372,H1B,28500,9265,37765
373,H1C,23135,3390,26525
374,H1E,58775,20375,79150
375,H1G,66160,23705,89865
376,H1H,49425,17500,66925
377,H1J,13555,5770,19325
378,H1K,49875,13550,63425
379,H1L,48085,14825,62910
380,H1M,36100,20060,56160
381,H1N,32945,12720,45665
382,H1P,24485,8500,32985
383,H1R,42670,13635,56305
384,H1S,33870,14000,47870
385,H1T,42745,16095,58840
386,H1V,34605,7415,42020
387,H1W,47145,8060,55205
388,H1X,45025,11855,56880
389,H1Y,41640,9110,50750
390,H1Z,52170,11610,63780
391,H2A,28915,7585,36500
392,H2B,24675,8290,32965
393,H2C,24920,10860,35780
394,H2E,37145,8170,45315
395,H2G,34760,6845,41605
396,H2H,24395,3445,27840
397,H2J,44610,5515,50125
398,H2K,46720,8415,55135
399,H2L,38065,8810,46875
400,H2M,26705,8425,35130
401,H2N,9345,2390,11735
402,H2P,23715,3900,27615
403,H2R,35975,6520,42495
404,H2S,45030,6890,51920
405,H2T,25880,5080,30960
406,H2V,44830,11490,56320
407,H2W,18775,3010,21785
408,H2X,31540,7755,39295
409,H2Y,5320,1430,6750
410,H2Z,3360,1260,4620
411,H3A,6000,1050,7050
412,H3B,1030,115,1145
413,H3C,18815,2165,20980
414,H3E,27430,10810,38240
415,H3G,10885,3850,14735
416,H3H,31150,5980,37130
417,H3J,16700,3785,20485
418,H3K,23630,4200,27830
419,H3L,29995,8500,38495
420,H3M,20645,8345,28990
421,H3N,41460,10830,52290
422,H3P,13720,5165,18885
423,H3R,13110,4520,17630
424,H3S,50475,10380,60855
425,H3T,20525,3975,24500
426,H3V,9485,3435,12920
427,H3W,45470,11590,57060
428,H3X,32455,10735,43190
429,H3Y,13495,4385,17880
430,H3Z,14175,8955,23130
431,H4A,39465,9895,49360
432,H4B,30255,7725,37980
433,H4C,27800,4550,32350
434,H4E,44930,12355,57285
435,H4G,46325,9570,55895
436,H4H,27865,8315,36180
437,H4J,25925,7230,33155
438,H4K,14585,6345,20930
439,H4L,51440,16855,68295
440,H4M,17455,5035,22490
441,H4N,43255,10565,53820
442,H4P,11475,1770,13245
443,H4R,39700,9375,49075
444,H4S,860,150,1010
445,H4T,0,0,0
446,H4V,28125,9605,37730
447,H4W,29285,17520,46805
448,H4X,8805,2735,11540
449,H4Y,0,0,0
450,H4Z,0,0,0
451,H5A,0,0,0
452,H5B,0,0,0
453,H7A,31545,6395,37940
454,H7B,4215,1375,5590
455,H7C,12425,4500,16925
456,H7E,36955,12050,49005
457,H7G,28265,11760,40025
458,H7H,21370,3580,24950
459,H7J,3100,1025,4125
460,H7K,33330,7695,41025
461,H7L,55820,11640,67460
462,H7M,37735,14930,52665
463,H7N,60510,19180,79690
464,H7P,51275,12795,64070
465,H7R,44415,10650,55065
466,H7S,10640,2895,13535
467,H7T,34075,10800,44875
468,H7V,27445,15980,43425
469,H7W,54895,22905,77800
470,H7X,39275,8065,47340
471,H7Y,15145,2190,17335
472,H8N,40510,14475,54985
473,H8P,30060,13055,43115
474,H8R,43890,10955,54845
475,H8S,34360,11675,46035
476,H8T,21265,6200,27465
477,H8Y,27395,7495,34890
478,H8Z,21410,6630,28040
479,H9A,22680,6120,28800
480,H9B,28795,10205,39000
481,H9C,17060,4485,21545
482,H9E,4480,1275,5755
483,H9G,21290,7580,28870
484,H9H,35800,12075,47875
485,H9J,32360,7770,40130
486,H9K,13715,1620,15335
487,H9P,5770,1540,7310
488,H9R,31875,13455,45330
489,H9S,29995,13080,43075
490,H9W,26875,8785,35660
491,H9X,13350,5330,18680
492,J0A,25720,9010,34730
493,J0B,83280,32040,115320
494,J0C,31985,9555,41540
495,J0E,63185,26375,89560
496,J0G,25190,9450,34640
497,J0H,74550,20635,95185
498,J0J,56760,19545,76305
499,J0K,186970,72945,259915
500,J0L,109800,28735,138535
501,J0M,36580,2885,39465
502,J0N,73625,15555,89180
503,J0P,55625,17540,73165
504,J0R,46455,20380,66835
505,J0S,43515,15995,59510
506,J0T,58215,29685,87900
507,J0V,33060,15910,48970
508,J0W,19970,10395,30365
509,J0X,60995,24505,85500
510,J0Y,42445,10985,53430
511,J0Z,47295,15290,62585
512,J1A,12080,5290,17370
513,J1C,9500,2530,12030
514,J1E,33455,10535,43990
515,J1G,26875,10755,37630
516,J1H,40305,11365,51670
517,J1J,17955,9910,27865
518,J1K,10030,3095,13125
519,J1L,16945,10770,27715
520,J1M,7210,2915,10125
521,J1N,47725,10530,58255
522,J1R,15655,2840,18495
523,J1S,10915,3755,14670
524,J1T,8890,5720,14610
525,J1X,39730,19870,59600
526,J1Z,8130,1895,10025
527,J2A,17575,3515,21090
528,J2B,41880,14290,56170
529,J2C,37605,19280,56885
530,J2E,6010,1480,7490
531,J2G,35910,18345,54255
532,J2H,27660,8440,36100
533,J2J,24735,8780,33515
534,J2K,22285,8905,31190
535,J2L,12390,4180,16570
536,J2M,10005,2650,12655
537,J2N,12015,4375,16390
538,J2R,14405,4555,18960
539,J2S,36845,19130,55975
540,J2T,21580,9150,30730
541,J2W,41885,9445,51330
542,J2X,27450,9045,36495
543,J2Y,8325,2045,10370
544,J3A,9290,7425,16715
545,J3B,45780,15420,61200
546,J3E,43520,10880,54400
547,J3G,44320,14450,58770
548,J3H,35895,11500,47395
549,J3L,71490,16525,88015
550,J3M,15475,4120,19595
551,J3N,25460,5190,30650
552,J3P,30385,17535,47920
553,J3R,18160,8825,26985
554,J3T,10245,5415,15660
555,J3V,34600,13390,47990
556,J3X,31855,7225,39080
557,J3Y,90410,23820,114230
558,J3Z,7775,835,8610
559,J4B,55300,22345,77645
560,J4G,14270,4385,18655
561,J4H,19025,10215,29240
562,J4J,42900,11910,54810
563,J4K,38195,10250,48445
564,J4L,42330,13545,55875
565,J4M,18390,5760,24150
566,J4N,12100,6920,19020
567,J4P,13750,6860,20610
568,J4R,12990,6105,19095
569,J4S,7400,4080,11480
570,J4T,25715,7390,33105
571,J4V,23010,7580,30590
572,J4W,25100,8955,34055
573,J4X,21325,12440,33765
574,J4Y,32665,10375,43040
575,J4Z,38555,10075,48630
576,J5A,41580,7850,49430
577,J5B,11005,2525,13530
578,J5C,25315,6235,31550
579,J5J,24130,4165,28295
580,J5K,24965,3415,28380
581,J5L,30095,6300,36395
582,J5M,31460,5815,37275
583,J5R,66725,14770,81495
584,J5T,20140,4725,24865
