,ethnicity,probable,count
5,nativeamerican,0.038461538461538464,364
3,hispanic,0.037383177570093455,321
6,pacificislander,0.03333333333333333,60
1,black,0.022099447513812154,181
4,na,0.018794556059624108,1543
2,caucasian,0.015963834145652327,14157
0,asian,0.015370284117373078,2147
